ARMK	C+	23.9500	8.7600	4	3	54.1500	52.7500	0.3600	27.9700	14.4300	-4.7700
ARNA	B-	67.5000	0.5100	3	3	63.5900	\N	680.7900	\N	43.1000	6.9600
ARNC	B+	16.4100	4.3900	\N	\N	64.7600	7.3500	0.2500	\N	84.5900	0.9200
ARR	B-	9.4600	2.8300	\N	3	57.9800	\N	\N	\N	13.9800	3.6100
ARVN	B-	35.3900	6.5300	\N	3	52.0000	\N	60.5500	\N	-23.3800	14.5300
ARW	B-	67.7700	2.1600	4	3	54.7800	\N	0.1900	3.5200	24.8800	1.8000
ARWR	C-	48.1800	1.7700	2	\N	73.8100	149.0000	35.7800	\N	36.3700	45.0300
ASA	B	19.1200	0.1000	\N	\N	70.9700	5.5500	221.0100	\N	48.7900	22.8800
ASB	B	13.2300	7.1300	\N	3	50.4800	7.8700	1.7200	4.9800	10.9000	-9.6900
ASGN	B-	69.0300	3.1200	4	3	65.3300	20.0600	0.8900	12.0800	84.4700	12.8500
ASH	B-	72.7200	4.2900	5	2	65.1200	\N	1.8000	\N	33.7000	7.1000
ASHR	B-	34.6200	-1.0000	\N	4	74.4300	\N	\N	\N	30.6900	22.4600
ASIX	B	11.4700	6.1100	5	3	50.6300	11.0800	0.2500	\N	16.0900	-9.8300
ASMB	B-	24.3100	3.0100	4	3	60.1300	\N	50.4100	\N	43.5100	14.2400
ASML	B+	375.4300	-5.3900	7	3	56.1600	53.3400	11.6000	33.0000	32.9000	7.2600
ASND	C	139.8800	1.4800	2	4	44.7500	\N	596.6200	\N	10.2000	-1.4100
ASTE	B	47.1900	2.2800	8	3	62.1600	37.5100	0.9100	14.5400	28.2000	7.8900
ATGE	B	34.9600	8.3400	5	3	66.6500	8.4100	1.5800	13.0200	33.9000	3.4900
ATH	B+	33.4500	5.0900	\N	3	59.2800	15.2000	0.6100	2.5600	37.9400	4.3400
ATHM	B-	89.2200	0.6000	3	5	64.2100	23.8000	8.7300	\N	20.0600	5.5600
ATI	B-	10.8100	4.0400	5	4	60.8900	5.8000	0.3200	6.0100	44.3300	8.9700
ATKR	B+	27.8600	5.8100	7	\N	58.0100	8.7500	0.6700	7.1400	26.8100	3.3000
ATMP	B-	10.6400	4.4200	\N	\N	45.5500	\N	\N	\N	11.1800	-10.5900
ATNX	B	12.6000	4.7400	5	3	49.6500	\N	8.6700	\N	56.9100	-2.7000
ATO	C+	100.6400	0.2100	6	2	54.8800	21.9500	4.3600	\N	-5.3700	-0.4400
ATR	B-	117.9000	1.3700	\N	3	70.0200	33.3300	2.6400	33.0000	16.8100	11.8500
ATRA	B	13.8000	1.1700	1	3	54.7100	\N	\N	\N	74.2400	32.0600
ATRC	B-	46.9100	5.3400	2	2	55.1200	\N	9.0600	\N	27.3300	2.6700
ATRO	B	9.7000	5.6000	\N	3	49.6700	\N	0.4000	6.6500	13.3800	-12.1700
ATSG	B	24.3200	1.7600	7	3	69.3100	10.3600	0.9400	\N	33.0400	15.0400
ATUS	B-	24.2100	0.8300	7	3	55.0400	97.6200	1.4500	8.7200	-5.5800	1.1700
ATVI	B+	79.1500	-0.7800	5	2	57.5900	39.1600	9.3800	33.0000	20.4500	8.1400
AU	C	31.4800	-0.2900	5	3	64.2600	123.4500	3.5900	\N	37.8900	26.6300
AUB	B	22.2000	6.2200	\N	3	52.1700	10.9400	2.2900	12.2100	6.0700	-2.0700
AUDC	C+	32.9100	0.7000	4	\N	53.7800	149.0000	5.1600	33.0000	44.8500	0.0000
AUPH	B	14.7100	1.6600	1	2	39.8400	\N	5210.2100	\N	-7.1900	-9.7500
AUTL	B	15.1000	0.1300	3	3	55.3200	\N	635.5900	\N	81.4900	16.1500
AVA	C	36.0700	0.0600	4	4	50.0700	18.6400	1.7600	\N	-17.1000	-3.9400
AVAV	B-	77.6600	2.7100	4	3	59.2700	45.2800	5.0600	33.0000	32.9300	13.0100
AVB	C	154.5400	0.0900	6	5	48.3300	27.7300	9.1500	\N	-4.0600	-3.8400
AVD	B-	13.6700	0.4400	5	3	56.2500	39.7400	0.8600	33.0000	-2.7700	11.2300
AVGO	C+	313.7800	-0.4100	6	3	55.7500	56.1500	5.5500	24.8800	21.8800	3.1900
AVK	B-	13.4600	0.6700	\N	\N	63.6100	\N	12.5000	\N	14.4600	3.2200
AVLR	B+	125.7900	-1.9200	4	2	49.6900	\N	24.8000	\N	58.0500	10.9700
AVNS	C+	32.4000	6.4700	1	3	63.7700	\N	2.0800	\N	12.8100	11.6900
AVRO	B	17.9800	6.8300	4	2	48.6700	\N	\N	\N	34.1800	-12.5100
AVT	B	26.5800	3.4200	\N	3	49.2500	\N	0.1400	4.2700	0.2600	-2.8200
AVTR	C+	19.2100	5.9000	\N	3	63.1800	\N	1.8900	24.7100	41.1500	11.4900
AVX	B-	\N	\N	4	\N	\N	\N	\N	\N	\N	\N
AVY	B	118.9900	2.7400	6	3	61.3000	17.2300	1.4000	31.8100	11.2300	3.0000
AVYA	C+	11.9100	1.7900	4	3	40.3100	\N	0.3600	28.5300	36.4300	-6.5900
AWF	C+	10.2700	0.5900	\N	\N	56.5400	\N	12.7700	\N	6.7600	-0.4800
AWI	B	78.4300	4.0200	5	2	58.0200	\N	3.5800	33.0000	2.0600	1.8400
AWK	C+	134.0600	-0.5800	6	3	65.2800	38.3900	6.5300	\N	3.7500	3.7500
AWR	C	77.2100	0.8400	5	3	50.2200	33.4000	5.8100	\N	-10.3400	-2.2000
AX	B	21.4800	8.8700	\N	3	54.8100	7.3900	2.0000	4.3400	26.3500	-1.0100
AXDX	C+	17.7100	1.2000	3	3	71.1000	\N	98.4600	\N	111.8400	75.3500
AXE	B+	\N	\N	7	\N	\N	\N	\N	\N	\N	\N
AXGN	C+	11.8800	6.1200	3	3	66.7400	\N	4.4300	\N	51.6600	20.9300
AXNX	B+	39.8300	7.7100	\N	3	56.2700	\N	41.9100	\N	34.0600	4.2100
AXP	B	97.3600	2.6600	\N	3	54.8700	14.7500	1.6900	\N	16.2000	-6.3400
AXS	B-	40.4500	2.5900	\N	3	54.9900	\N	0.6400	\N	2.6100	-1.2000
AXSM	B	82.0900	3.3600	3	4	51.2600	\N	\N	\N	27.4100	9.7000
AXTA	B-	23.8800	4.6900	7	3	65.3300	21.8300	1.2700	10.6900	37.7200	4.6500
AY	B	29.3800	2.6200	5	4	63.0500	96.9600	2.9900	15.8600	27.4600	8.9800
AYI	B	98.0000	6.8600	6	3	59.0200	14.4100	1.1400	7.9000	17.2200	0.3000
AYR	C+	\N	\N	6	\N	\N	\N	\N	\N	\N	\N
AYX	B+	162.4500	-1.6300	5	3	51.3200	\N	24.3000	33.0000	37.0800	13.6500
AZN	B	58.0000	7.4500	7	2	69.5500	100.0000	6.0000	\N	20.7600	10.1800
AZO	B+	1149.2300	1.4000	8	3	59.3300	16.9100	2.2100	15.8100	23.2200	2.7300
AZPN	C	97.2500	3.3900	4	3	43.8900	29.0400	11.7500	30.3100	0.7600	-4.1400
